id;equipe;lat;long;ci
1;Marseille;43.26998321950068;5.39590875602743;13208
2;Toulouse;43.583825671756756;1.434048;31555
3;Angers;47.46101179739343;-0.5307510846547395;49007
4;Nimes;43.81656942314662;4.3591667306905215;30189
5;Lille;50.61270197853518;3.1304899;59009
6;Rennes;48.10808987433688;-1.7129951460357897;35238
7;Montpellier;43.6228268622822;3.8120197846547392;34172
8;Dijon;47.3250215768131;5.068285584654739;21231
9;Nantes;47.25672235908193;-1.5248037460357815;44109
10;Monaco;43.72841860893649;7.415622969309478;99138
11;Nice;43.706075362366754;7.19280278465474;06088
12;Reims;49.24747496077842;4.0244621613810425;51454
13;St Etienne;45.46143551175264;4.390108184654739;42218
14;Guingamp;48.566739483707394;-3.164555961381042;22070
15;Bordeaux;44.898179095330775;-0.5616292153452603;33063
16;Strasbourg;48.5606604593386;7.755080584654739;67482
17;Lyon;45.76601350041444;4.98194316930948;69275
18;Amiens;49.894732965383156;2.263489930690521;80021
19;Paris SG;48.84205697569887;2.25309161534526;75116
20;Caen;49.180048264791054;-0.39683814603578155;14118
